"Gene","n","rank"
"LOC148696",1,1048
"LOC150622",1,1049
"LOC283143",1,1050
"LOC392364",1,1051
"LOC646471",1,1052
"LOC647946",1,1053
"LOC653075",1,1054
"LOC727896",1,1055
"LOC728758",1,1056
"LOC731275",1,1057
"LOC91948",1,1058
"LRRC4",1,1059
"MED31",1,1060
"MEF2BNB",1,1061
"MMP14",1,1062
"MSMP",1,1063
"MYOM3",1,1064
"MZF1",1,1065
"OR4F16",1,1066
"PLA2G4B",1,1067
"POM121L10P",1,1068
"POM121L4P",1,1069
"PRR23A",1,1070
"PTRH1",1,1071
"RAD51B",1,1072
"RPL26L1",1,1073
"RUNX1-IT1",1,1074
"SCRN2",1,1075
"SERF1A",1,1076
"SPDYE3",1,1077
"TAS2R13",1,1078
"TAS2R43",1,1079
"TAS2R50",1,1080
"TMEM101",1,1081
"TMEM191C",1,1082
"TMEM203",1,1083
"TMEM231",1,1084
"TMEM93",1,1085
"TSPAN9",1,1086
"TSPYL6",1,1087
"TTN",1,1088
"UBE2Q2P1",1,1089
"ZNF470",1,1090
"ZNF610",1,1091
"ZNF642",1,1092
